Model,Config,Val_Accuracy,Val_Macro_F1,Val_WLogLoss,Test_Accuracy,Test_Macro_F1,Test_Weighted_LogLoss,Experiment,Kernels,C,Scaler,ClassWeight,Test_WLogLoss
Mantis_V2_LinearProbe,mantis_v2_c1_noscaler_unbalanced,0.5955284552845529,0.4666347072277226,1.8692337286776954,0.6196269261962692,0.49416635490950866,2.003858815251201,,,,,,
Mantis_V2_LinearProbe,mantis_v2_c10_noscaler_unbalanced,0.5528455284552846,0.45861625490531976,2.813677678120114,0.5754257907542579,0.45584844823709314,3.1114246317430396,,,,,,
Mantis_V2_LinearProbe,mantis_v2_c1_scaler_unbalanced,0.5914634146341463,0.4626325775928078,2.034872684091226,0.6074614760746148,0.49141289515230896,2.2086735020676844,,,,,,
Mantis_V2_LinearProbe,mantis_v2_c1_scaler_balanced,0.5020325203252033,0.47714887005546724,1.7657088048294893,0.5044606650446066,0.47149595549451284,2.0137646065456325,,,,,,
Mantis_V2_LinearProbe,mantis_v2_c10_scaler_balanced,0.48577235772357724,0.4484467742772654,2.9247118439923647,0.5097323600973236,0.4668854694505029,3.3186136522000322,,,,,,
Mantis_V2_LinearProbe,mantis_v2_c1_scaler_balanced (retrain train+val),,0.47714887005546724,,0.5150040551500406,0.4777856368964808,1.9473244353290717,,,,,,
MultiRocket,,0.5813008130081301,0.49354544403006156,3.8696732618309264,0.5916463909164639,0.45343905188840267,,"[1] Baseline (L2, C=1, 1k kernels)",1000.0,1.0,False,none,5.860757154452022
MultiRocket,,0.540650406504065,0.4744891428003501,3.493594024727538,0.5056772100567721,0.45224718661092106,,[2] + class_weight='balanced',1000.0,1.0,False,balanced,4.536921075528114
MultiRocket,,0.6443089430894309,0.5582798222074743,2.596497956534009,0.6370640713706407,0.49612812403319756,,[3] + StandardScaler,1000.0,1.0,True,none,2.9939451118883698
MultiRocket,,0.6382113821138211,0.55512132089233,2.191877712436356,0.6346309813463098,0.5137796485014007,,[4] + Scaler + class_weight='balanced',1000.0,1.0,True,balanced,2.570721094380374
MultiRocket,,0.6422764227642277,0.545541375253386,2.753628167599145,0.624493106244931,0.47441713760131465,,[5] 6250 kernels (baseline C=1),6250.0,1.0,False,none,3.5606442291023277
MultiRocket,,0.6565040650406504,0.5827447462688459,3.5939739720051804,0.643146796431468,0.49477982596490705,,[6] 6250 kernels + Scaler + balanced,6250.0,1.0,True,balanced,4.464291118876547
MultiRocket,,,,,0.637875101378751,0.5095301050781222,,[7] GridSearch C=0.01 (1k+Scaler+bal) (retrain train+val),1000.0,0.01,True,balanced,1.6680902001240825
MultiRocket,,,,,0.6585563665855637,0.5277676768922505,,[8] GridSearch C=0.01 (6k+Scaler+bal) (retrain train+val),6250.0,0.01,True,balanced,1.9025815597147648
MultiRocket,,,0.6018842560807716,,0.6585563665855637,0.5277676768922505,,[FINAL] Best Val → retrain train+val,6250.0,0.01,True,balanced,1.9025815597147648
